,product name,ratings,reviews,helpful,date,,asin,target,text
10,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",5,"

  I have been using turmeric Curcumin for approximately 2 years. I have degenerated disc in my back which are causing nerve pain. A couple years ago, I couldn’t sleep from my pain. This helps eliminate inflammation & helps with the pain. I am not taking any kind of pain medication so I know this is helping me. I’ve always exercised but have been able to step up my workout in the last several months. I believe in this product & hopefully, I can avoid back surgery.

",228,"February 18, 2018",,B06X9T1Y3F,p,"

  I have been using turmeric Curcumin for approximately 2 years. I have degenerated disc in my back which are causing nerve pain. A couple years ago, I couldn’t sleep from my pain. This helps eliminate inflammation & helps with the pain. I am not taking any kind of pain medication so I know this is helping me. I’ve always exercised but have been able to step up my workout in the last several months. I believe in this product & hopefully, I can avoid back surgery.

"
11,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",5,"

  So sad to give a bad review. Have previously been using the Amazon Elements Tumeric and decided to try an alternative brand to save money. Unfortunatley the labeling on this is very misleading as it states 1950mg yet on closer inspection contains only 150mg of Curcuminoids for every 3 capsules. Years of ibuprofen use or rather abuse has resulted in my inability to use NSAIDs. I now rely on tumeric for aches & pains, tension headaches and so on. My understanding is that 500mg to 1000mg of Cucuminoids is required for anti-inflamatiry effect. Curcuminoids, the active ingredient only comprise a small part of turmeric and an even smaller part of this supplment. Basically one would have to take 10+ capsules to achieve any anti-inflamatory benefits and thus I am not only missing the cost savings but having to choke down a handful of pills.  Seriously dissapointed!

",166,"January 7, 2019",,B06X9T1Y3F,p,"

  So sad to give a bad review. Have previously been using the Amazon Elements Tumeric and decided to try an alternative brand to save money. Unfortunatley the labeling on this is very misleading as it states 1950mg yet on closer inspection contains only 150mg of Curcuminoids for every 3 capsules. Years of ibuprofen use or rather abuse has resulted in my inability to use NSAIDs. I now rely on tumeric for aches & pains, tension headaches and so on. My understanding is that 500mg to 1000mg of Cucuminoids is required for anti-inflamatiry effect. Curcuminoids, the active ingredient only comprise a small part of turmeric and an even smaller part of this supplment. Basically one would have to take 10+ capsules to achieve any anti-inflamatory benefits and thus I am not only missing the cost savings but having to choke down a handful of pills.  Seriously dissapointed!

"
12,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",5,"

  I am so disappointed. The discoloration between the last order and this one is dramatic. The most recent order almost looks like it’s been chemically changed. I’m sending it back.

",142,"January 1, 2019",,B06X9T1Y3F,p,"

  I am so disappointed. The discoloration between the last order and this one is dramatic. The most recent order almost looks like it’s been chemically changed. I’m sending it back.

"
13,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",4,"

  I originally purchased this product for my wife who is experiencing some sort of muscle pain waking up in the morning, and also for myself for my left shoulder pain that's been there for so long. My doctor had prescribe all possible drugs to fix it, but all of them just worked temporarily, and the pain will come back within two to four weeks. I quit going to the doctor because nothing basically works to cure the pain. I have heard and even read about Turmeric in the past but paid no attention to it. I thought this is just another marketing hype. Well, it proved me wrong. To date, which is exactly one week of taking the Turmeric, I can honestly say that 99% of the pain is gone! Even my wife have noticed huge improvement waking up in the morning after just two days of taking it. Now, I am a firm believer that this product just works and, the best part is, that there is no side effect! It's that simple. I recommend this product and will definitely buy again.

",747,"March 30, 2017",,B06X9T1Y3F,p,"

  I originally purchased this product for my wife who is experiencing some sort of muscle pain waking up in the morning, and also for myself for my left shoulder pain that's been there for so long. My doctor had prescribe all possible drugs to fix it, but all of them just worked temporarily, and the pain will come back within two to four weeks. I quit going to the doctor because nothing basically works to cure the pain. I have heard and even read about Turmeric in the past but paid no attention to it. I thought this is just another marketing hype. Well, it proved me wrong. To date, which is exactly one week of taking the Turmeric, I can honestly say that 99% of the pain is gone! Even my wife have noticed huge improvement waking up in the morning after just two days of taking it. Now, I am a firm believer that this product just works and, the best part is, that there is no side effect! It's that simple. I recommend this product and will definitely buy again.

"
14,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",5,"

  This is the brand I will continue buying  I have M.S. and it seems to be working better than all the meds the Dr had me on.

",383,"March 1, 2017",,B06X9T1Y3F,p,"

  This is the brand I will continue buying  I have M.S. and it seems to be working better than all the meds the Dr had me on.

"
15,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",1,"

  I never expected this to work, but 2 weeks into taking it and I just realized that my arthritis pain is GONE!  Prior to taking this, I was awake constantly with severe pain in my shoulder and hip!

",343,"February 10, 2017",,B06X9T1Y3F,n,"

  I never expected this to work, but 2 weeks into taking it and I just realized that my arthritis pain is GONE!  Prior to taking this, I was awake constantly with severe pain in my shoulder and hip!

"
16,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",5,"

  I have osteoarthritis in my right knee and I will eventually require surgery (bone on bone). My knee is often sore, stiff and painful. I was taking straight Turmeric to help with my joints and a holistic practitioner/friend encouraged me to try Turmeric with pepper because of the better absorption. I have been taking this for a month and my knee has improved 100%. The stiffness is minimal and the pain gets dicey with a lot of walking about at work but I have not had to take my Ibuprofen 800mg in about 2 weeks now. Give it a try. It has really made a difference in how I feel. Love it.

",114,"March 19, 2018",,B06X9T1Y3F,p,"

  I have osteoarthritis in my right knee and I will eventually require surgery (bone on bone). My knee is often sore, stiff and painful. I was taking straight Turmeric to help with my joints and a holistic practitioner/friend encouraged me to try Turmeric with pepper because of the better absorption. I have been taking this for a month and my knee has improved 100%. The stiffness is minimal and the pain gets dicey with a lot of walking about at work but I have not had to take my Ibuprofen 800mg in about 2 weeks now. Give it a try. It has really made a difference in how I feel. Love it.

"
17,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",1,"

  This was a re order and the bottle and ingredients are exact but the pill is a different size and color..... not the same product. They either have no quality control or are using fillers instead of tumeric. Returning this.

",80,"January 20, 2019",,B06X9T1Y3F,n,"

  This was a re order and the bottle and ingredients are exact but the pill is a different size and color..... not the same product. They either have no quality control or are using fillers instead of tumeric. Returning this.

"
18,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",1,"

  This is the 2nd time I order from this company and look at the difference on the pill the orange one it’s first bottle and the brown one it’s the 2 bottle. Even different size . With the first bottle I could feel a difference but with the second one, I’m still in pain.

",76,"January 1, 2019",,B06X9T1Y3F,n,"

  This is the 2nd time I order from this company and look at the difference on the pill the orange one it’s first bottle and the brown one it’s the 2 bottle. Even different size . With the first bottle I could feel a difference but with the second one, I’m still in pain.

"
19,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",5,"

  It's the inflammation destroyer. This is how I know pharmaceuticals are a joke. This stuff kills pain better than any pharma.

",101,"January 13, 2018",,B06X9T1Y3F,p,"

  It's the inflammation destroyer. This is how I know pharmaceuticals are a joke. This stuff kills pain better than any pharma.

"
20,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",5,"

  I can not say enough good things about this turmeric.  I suffer from bulging disks in my neck and lower back.  I won't take any of the pain medication my doctor keeps trying to push on me so I just suffer with the pain.  A friend of mine started taking turmeric for her pain and highly recommended it to me.  The day I received my order I took one then again later that evening.  A few short hours later my pain started to go away.  This is the best I've felt in several years.  I still have some minor pain but I can live with it.  I am now functional again, that's the important thing.  My niece also suffers from bad back pain.  I will be buying her a bottle as well.

",78,"May 21, 2018",,B06X9T1Y3F,p,"

  I can not say enough good things about this turmeric.  I suffer from bulging disks in my neck and lower back.  I won't take any of the pain medication my doctor keeps trying to push on me so I just suffer with the pain.  A friend of mine started taking turmeric for her pain and highly recommended it to me.  The day I received my order I took one then again later that evening.  A few short hours later my pain started to go away.  This is the best I've felt in several years.  I still have some minor pain but I can live with it.  I am now functional again, that's the important thing.  My niece also suffers from bad back pain.  I will be buying her a bottle as well.

"
21,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",5,"

  We like this product.  It helps with a foggy mind!

",73,"February 16, 2018",,B06X9T1Y3F,p,"

  We like this product.  It helps with a foggy mind!

"
22,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",5,"

  I started using turmeric about three years ago when I was trying to find alternatives to taking daily over the counter pain relievers.  My Doctor told me I had to stop taking so many or I would end up with liver damage.  So I read that turmeric with bioprene works well for inflammation and joint pain.  I’ve tried several brands, some cheaper, some more expensive.  Some did nothing at all for me; while others may have worked well, but were either too expensive for me or I would have acid reflux episodes from the bioprene.  I settled on one brand for awhile when I went to reorder it, it was unavailable.  After searching for another brand that I thought that would work for me I tried this brand.  It was just as good if not better than what I was using at half the cost!!! I take turmeric for everyday aches and pains.  I also have bulging disks in my lower back and have hip pain from a car accident.  When I take turmeric I am able to go about my normal day without much pain (it doesn’t completely take my back pain away, but I am able to function).  My hip doesn’t hurt like it normally does.  I can tell when I haven’t taken my turmeric.  I wake up and my whole body hurts!!! I would highly recommended taking this brand as it seems to me to be just as good as the higher end ones that are sold and at half the price.

",53,"August 14, 2018",,B06X9T1Y3F,p,"

  I started using turmeric about three years ago when I was trying to find alternatives to taking daily over the counter pain relievers.  My Doctor told me I had to stop taking so many or I would end up with liver damage.  So I read that turmeric with bioprene works well for inflammation and joint pain.  I’ve tried several brands, some cheaper, some more expensive.  Some did nothing at all for me; while others may have worked well, but were either too expensive for me or I would have acid reflux episodes from the bioprene.  I settled on one brand for awhile when I went to reorder it, it was unavailable.  After searching for another brand that I thought that would work for me I tried this brand.  It was just as good if not better than what I was using at half the cost!!! I take turmeric for everyday aches and pains.  I also have bulging disks in my lower back and have hip pain from a car accident.  When I take turmeric I am able to go about my normal day without much pain (it doesn’t completely take my back pain away, but I am able to function).  My hip doesn’t hurt like it normally does.  I can tell when I haven’t taken my turmeric.  I wake up and my whole body hurts!!! I would highly recommended taking this brand as it seems to me to be just as good as the higher end ones that are sold and at half the price.

"
23,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",1,"

  Just received the product and I do not appreciate the fact that the labeling is not consistent with the picture.  I don't like deceptive labeling. I received a dark bottle with a computer printed label that has been placed on it.  Also, how can I read the directions if the print has writing all over it??? It has been printed over twice.  See picture that I provided.

",174,"January 18, 2018",,B06X9T1Y3F,n,"

  Just received the product and I do not appreciate the fact that the labeling is not consistent with the picture.  I don't like deceptive labeling. I received a dark bottle with a computer printed label that has been placed on it.  Also, how can I read the directions if the print has writing all over it??? It has been printed over twice.  See picture that I provided.

"
24,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",1,"

  I must admit, we have been using another brand for over two years.  We decided to take a chance to see if this was as good.  I'm totally impressed, this product is just as good, if not better than the other brand.  The bonus, it's half the price we usually paid.  High Recommend.  UPDATE:  Still using this brand and getting the same outstanding relief from joint pain.

",81,"August 2, 2017",,B06X9T1Y3F,n,"

  I must admit, we have been using another brand for over two years.  We decided to take a chance to see if this was as good.  I'm totally impressed, this product is just as good, if not better than the other brand.  The bonus, it's half the price we usually paid.  High Recommend.  UPDATE:  Still using this brand and getting the same outstanding relief from joint pain.

"
25,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",5,"

  My mother recommended I try this for it's anti-inflammatory values. I have dealt with knee, lower back and wrist pains for years. After using Turmeric Curcumin Max Potency for a week I no longer need to take aspirin for pain relief. My mother has also had great success with Turmeric Curcumin Max Potency as well.

",48,"January 31, 2018",,B06X9T1Y3F,p,"

  My mother recommended I try this for it's anti-inflammatory values. I have dealt with knee, lower back and wrist pains for years. After using Turmeric Curcumin Max Potency for a week I no longer need to take aspirin for pain relief. My mother has also had great success with Turmeric Curcumin Max Potency as well.

"
26,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",4,"

  I am a 51 year old woman with a few aches and pains. I started taking Curcumin & BioPerene for several reasons. Studies have shown that it's effective for stress. I've put on some stress weight in the past year or so. After reading all the potential benefits of this product, (Treats Alzheimer's, fights cancer, helps anxiety and depression, can mimic estrogen, etc. etc. etc.  I thought it would be awesome if it would work well for even part of the stuff that the studies claim it helps. So I took it for 15 days and by about the  middle of the second week I realized I felt better. Less stressed, more motivated...then I waited too long to order and I ran out. o_O After about 2 days my hip and my shoulder and my ankles and all those other aches and pains that I had forgotten about (...because they didn't hurt!!)  were back! I bought two big old bottles of this stuff and (unless some unforseen side effects occur) I won't let myself run out again! I don't take any other supplements or meds.HOWEVER...I had my 72 year old mom try these. She doesn't take any other meds except ibuprofen (I know..right? She's spry for her age!) for her arthritis. She has only taken them for a week and she says she is cranky (...er than usual...lol) and is tired all the time. Also she is (are you ready) sleeping too soundly :-D and having weird dreams that she can't remember. I didn't realize that curcumin is a blood thinner (like many other herbs and spices) and it can cause low blood sugar and increase problems like GERD. Actually I could only find a very VERY few side effects and they were listed only as a result of taking large doses. Mom said she still takes 2 ibuprofen a day (which I didn't know.) and since that is also a blood thinner I wonder if that might not be why she is having issues? In any case, she has stopped taking them.SO... that is two sides of the story. I am thrilled to death with my results, mom...not so much.I'm going to have my brother try them too and I will post his results.  Hope this helps!

",64,"March 13, 2018",,B06X9T1Y3F,p,"

  I am a 51 year old woman with a few aches and pains. I started taking Curcumin & BioPerene for several reasons. Studies have shown that it's effective for stress. I've put on some stress weight in the past year or so. After reading all the potential benefits of this product, (Treats Alzheimer's, fights cancer, helps anxiety and depression, can mimic estrogen, etc. etc. etc.  I thought it would be awesome if it would work well for even part of the stuff that the studies claim it helps. So I took it for 15 days and by about the  middle of the second week I realized I felt better. Less stressed, more motivated...then I waited too long to order and I ran out. o_O After about 2 days my hip and my shoulder and my ankles and all those other aches and pains that I had forgotten about (...because they didn't hurt!!)  were back! I bought two big old bottles of this stuff and (unless some unforseen side effects occur) I won't let myself run out again! I don't take any other supplements or meds.HOWEVER...I had my 72 year old mom try these. She doesn't take any other meds except ibuprofen (I know..right? She's spry for her age!) for her arthritis. She has only taken them for a week and she says she is cranky (...er than usual...lol) and is tired all the time. Also she is (are you ready) sleeping too soundly :-D and having weird dreams that she can't remember. I didn't realize that curcumin is a blood thinner (like many other herbs and spices) and it can cause low blood sugar and increase problems like GERD. Actually I could only find a very VERY few side effects and they were listed only as a result of taking large doses. Mom said she still takes 2 ibuprofen a day (which I didn't know.) and since that is also a blood thinner I wonder if that might not be why she is having issues? In any case, she has stopped taking them.SO... that is two sides of the story. I am thrilled to death with my results, mom...not so much.I'm going to have my brother try them too and I will post his results.  Hope this helps!

"
27,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",5,"

  I was hopeful.  The first 2 or 3 days there seemed to be some relief in the arthritic pain in my knees (which often keeps me awake at night).  But I think it must've been a placebo effect, or just a coincidence.  I've been taking this stuff faithfully for 7-8 weeks and I detect no consistent relief.

",33,"November 3, 2018",,B06X9T1Y3F,p,"

  I was hopeful.  The first 2 or 3 days there seemed to be some relief in the arthritic pain in my knees (which often keeps me awake at night).  But I think it must've been a placebo effect, or just a coincidence.  I've been taking this stuff faithfully for 7-8 weeks and I detect no consistent relief.

"
28,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",1,"

  I was not getting same results from the Natures brand as opposed to the Puretea brand. So I broke open a capsule of each. It Looks quite different. Almost like they forgot to add the Bioperine or not enough of it. Perhaps I'm not getting full absorption. I just ordered another PutrTea  so I will update this review after one to three weeks with my results.

",34,"October 30, 2018",,B06X9T1Y3F,n,"

  I was not getting same results from the Natures brand as opposed to the Puretea brand. So I broke open a capsule of each. It Looks quite different. Almost like they forgot to add the Bioperine or not enough of it. Perhaps I'm not getting full absorption. I just ordered another PutrTea  so I will update this review after one to three weeks with my results.

"
