,product name,ratings,reviews,helpful,date,,asin,target,text
10,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,"

  I bought all three, The Classic, The Voyage and the Blue. They all smell good. But in my personal preference, the King of all three is; Voyage.The Nautica Voyage. It smells very fancy like an cool ocean fresh but expensive elegant men perfume/cologne. All of the above in layers. For me using it in 30 degrees February winter It last a very long time 8-12+ and more if you use the right amount on you and some light spray on your clothes. You can also go light and it will last 3-6 hours depending on how much you use.Then in second place the Nautica Blue, it smells more sweet like hinting fruity sweet and fancy with tones of cool and sporty fancy smell and very very nice. It lasts on me the just the same time length as the other Voyage. And on third place the Classic, it smells nice but it’s too muskyand woody for my personal likes, as I like it more sweet than woody but it still smells really good. I can see some older mature men liking this one better.But the really interesting thing is that when I mix and use equal amounts of both Voyage and Blue together it creates a really incredible sweet fruity very fancy and expensive fragance that’s out of this world. It smells like cool oceanic sweet fruity sweet tones like peaches and cream with kind of pineapple hints, something really amazing to describe. I went to my daughters female doctor today and she and also her assistant who both entered at different times by themselves mentioned the really amazing smell in the room lol. Also my teenage daughter mentioned how great my perfume smelled the day before. And also another women in the elevator said “umm it smells really good in here” lol.So to me it’s a winner. Next time I will only buy the Nautica Voyage and the Nautica Blue, a perfect mix.

",11,"February 22, 2019",,B000P22TIY,p,"

  I bought all three, The Classic, The Voyage and the Blue. They all smell good. But in my personal preference, the King of all three is; Voyage.The Nautica Voyage. It smells very fancy like an cool ocean fresh but expensive elegant men perfume/cologne. All of the above in layers. For me using it in 30 degrees February winter It last a very long time 8-12+ and more if you use the right amount on you and some light spray on your clothes. You can also go light and it will last 3-6 hours depending on how much you use.Then in second place the Nautica Blue, it smells more sweet like hinting fruity sweet and fancy with tones of cool and sporty fancy smell and very very nice. It lasts on me the just the same time length as the other Voyage. And on third place the Classic, it smells nice but it’s too muskyand woody for my personal likes, as I like it more sweet than woody but it still smells really good. I can see some older mature men liking this one better.But the really interesting thing is that when I mix and use equal amounts of both Voyage and Blue together it creates a really incredible sweet fruity very fancy and expensive fragance that’s out of this world. It smells like cool oceanic sweet fruity sweet tones like peaches and cream with kind of pineapple hints, something really amazing to describe. I went to my daughters female doctor today and she and also her assistant who both entered at different times by themselves mentioned the really amazing smell in the room lol. Also my teenage daughter mentioned how great my perfume smelled the day before. And also another women in the elevator said “umm it smells really good in here” lol.So to me it’s a winner. Next time I will only buy the Nautica Voyage and the Nautica Blue, a perfect mix.

"
11,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,"

  Was looking for a clean/refreshing fragrance. While I thought about purchasing 'Invictus Aqua', this was a very cheap alternative with great reviews. So I said ""why not?"".To my surprise, it has a VERY clean, refreshing scent to it. When you wear this, you bring a wonderful crisp smell into the dull, scentless room! And yes, people notice it too.Recieved a compliment from a female co-worker the first day I wore it, asked me what I was wearing. Like I said, it's a nice scent!Scent is A+. Projection lasts about 3-4 hours, afterwards being less strong but still noticable up close. Total longevity is about 6 hours since it's a light fragrance, not too shabby.Total recommend. If you don't like it, throw it in the corner. It's too affordable to not AT LEAST try first.

",12,"August 25, 2019",,B000P22TIY,n,"

  Was looking for a clean/refreshing fragrance. While I thought about purchasing 'Invictus Aqua', this was a very cheap alternative with great reviews. So I said ""why not?"".To my surprise, it has a VERY clean, refreshing scent to it. When you wear this, you bring a wonderful crisp smell into the dull, scentless room! And yes, people notice it too.Recieved a compliment from a female co-worker the first day I wore it, asked me what I was wearing. Like I said, it's a nice scent!Scent is A+. Projection lasts about 3-4 hours, afterwards being less strong but still noticable up close. Total longevity is about 6 hours since it's a light fragrance, not too shabby.Total recommend. If you don't like it, throw it in the corner. It's too affordable to not AT LEAST try first.

"
12,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,"

  Over the years I had tried several different offices use toilette spray, and to my astonishment, most do not last the entire day.  Yesterday, working in the backyard in expanding the HE SHED in Southern California (Inland Empire), I came in for afternoon rest.  The better half (the wife), mentioned if I was wearing cologne.  She also said it smells nice and sweet.  I was stunned.  Why? Sweating and dusty from building materials, I did not expect to last that long.  Well...it not only met my wife's nose but continuing the entire day. The cologne is not only a grand bargain (bang for the buck) but appealing to those with a nose.

",11,"November 14, 2018",,B000P22TIY,n,"

  Over the years I had tried several different offices use toilette spray, and to my astonishment, most do not last the entire day.  Yesterday, working in the backyard in expanding the HE SHED in Southern California (Inland Empire), I came in for afternoon rest.  The better half (the wife), mentioned if I was wearing cologne.  She also said it smells nice and sweet.  I was stunned.  Why? Sweating and dusty from building materials, I did not expect to last that long.  Well...it not only met my wife's nose but continuing the entire day. The cologne is not only a grand bargain (bang for the buck) but appealing to those with a nose.

"
13,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,"

  I don't know if this is fake, or Nautica just made a poor product. This smells good initially, but the smell is weak and does not last more than 30 minutes. If I spray it in the morning, the scent is gone by the time I have my coffee. Not buying this again

",13,"February 23, 2019",,B000P22TIY,p,"

  I don't know if this is fake, or Nautica just made a poor product. This smells good initially, but the smell is weak and does not last more than 30 minutes. If I spray it in the morning, the scent is gone by the time I have my coffee. Not buying this again

"
14,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,"

  It doesnt seem to be an original product. Not enough fragrance.

",15,"August 5, 2018",,B000P22TIY,p,"

  It doesnt seem to be an original product. Not enough fragrance.

"
15,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,"

  Great size and value for the price, light crisp airy sent, perfect for the summer, not sure if I would consider it to be a thick fall scent, but definitely fresh and crisp!  Longevity has been pretty good, if you apply in the morning and go all day, it will pretty much last you all day, if you happen to be going out at night apply a few more squirts And you’re good to go!

",8,"July 4, 2019",,B000P22TIY,n,"

  Great size and value for the price, light crisp airy sent, perfect for the summer, not sure if I would consider it to be a thick fall scent, but definitely fresh and crisp!  Longevity has been pretty good, if you apply in the morning and go all day, it will pretty much last you all day, if you happen to be going out at night apply a few more squirts And you’re good to go!

"
16,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,"

  First time purchasing a Nautica brand cologne. Had never smelled it before, but I had just ran out of my normal everyday cologne. I was looking for something a little different and came across Voyage. It had tons of gleaming reviews and $15 for a 3.4oz bottle was a steal. The smell is very fresh. Hints of fruit with a light musky after smell. I really liked it. The only reason I didn't give it 5 stars was because the longevity, in my experience is only about 3 hours. After than the cologne is hardly noticeable unless you literally have your face where you sprayed it earlier. But hey, for the price that's to be expected.

",3,"July 3, 2020",,B000P22TIY,p,"

  First time purchasing a Nautica brand cologne. Had never smelled it before, but I had just ran out of my normal everyday cologne. I was looking for something a little different and came across Voyage. It had tons of gleaming reviews and $15 for a 3.4oz bottle was a steal. The smell is very fresh. Hints of fruit with a light musky after smell. I really liked it. The only reason I didn't give it 5 stars was because the longevity, in my experience is only about 3 hours. After than the cologne is hardly noticeable unless you literally have your face where you sprayed it earlier. But hey, for the price that's to be expected.

"
17,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,"

  I love this. I purchased this along with Versace Eros Eau de Toilette, and this was by FAR the better received by those around me. I always get compliments about this light and fresh scent (but someone has to be pretty close to smell it). You won't fill up a room with your smell which is great, and ppl who are close enough to smell it will enjoy it. Thats ideal. 5/5

",11,"October 25, 2017",,B000P22TIY,p,"

  I love this. I purchased this along with Versace Eros Eau de Toilette, and this was by FAR the better received by those around me. I always get compliments about this light and fresh scent (but someone has to be pretty close to smell it). You won't fill up a room with your smell which is great, and ppl who are close enough to smell it will enjoy it. Thats ideal. 5/5

"
18,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,"

  I've bought tons of stuff from Amazon, including cologne. This is only my second review I'm making because this is one incredible deal. Been using different colognes and this one seems to get a lot of good reaction. I am a waiter so of coarse I like to smell nice, and this cologne has had guests genuinely laughing while telling me I smell so good. My coworkers have all complimented it to an extreme. Cool Water has always been my favorite, but people seem to really like this.I can say it's legit, but it doesn't last forever. I guess it peeks shortly after you put it on and lasts for roughly 5-6 hours before the smell starts to vanquish.Overall, for the price... WOW. This cologne is a keeper in my collection as I don't like to wear the same everyday.Side note- the bottle and cap are my favorite out of all the colognes I use, very nice job there. Awesome stuff.

",21,"September 8, 2015",,B000P22TIY,p,"

  I've bought tons of stuff from Amazon, including cologne. This is only my second review I'm making because this is one incredible deal. Been using different colognes and this one seems to get a lot of good reaction. I am a waiter so of coarse I like to smell nice, and this cologne has had guests genuinely laughing while telling me I smell so good. My coworkers have all complimented it to an extreme. Cool Water has always been my favorite, but people seem to really like this.I can say it's legit, but it doesn't last forever. I guess it peeks shortly after you put it on and lasts for roughly 5-6 hours before the smell starts to vanquish.Overall, for the price... WOW. This cologne is a keeper in my collection as I don't like to wear the same everyday.Side note- the bottle and cap are my favorite out of all the colognes I use, very nice job there. Awesome stuff.

"
19,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,"

  Nautical voyage has a really “fresh” scent. I don’t really do the whole hints of this and notes of so and so. I’ll simply stick to it has a fresh sort of out of the shower clean scent. Nothing is overpowering here you can give yourself a few sprays and not worry about it suffocating the room. I will say as far as staying power it holds up for a few hours. After that it’s pretty much non existant.  Really good for just an evening out or something but if you’re looking for all day maybe not the best choice.

",5,"March 14, 2019",,B000P22TIY,n,"

  Nautical voyage has a really “fresh” scent. I don’t really do the whole hints of this and notes of so and so. I’ll simply stick to it has a fresh sort of out of the shower clean scent. Nothing is overpowering here you can give yourself a few sprays and not worry about it suffocating the room. I will say as far as staying power it holds up for a few hours. After that it’s pretty much non existant.  Really good for just an evening out or something but if you’re looking for all day maybe not the best choice.

"
20,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,"

  I get this, because I’m tired of paying a lot of $$$$ for the expensive brands. Guess what? I’ve gotten more compliments off of this cologne in ALL my 54 years on the planet. Lol.I would recommend everytime. Let’s just say it’s got a fruity, island, beach type smell. I think it’s awesome.I always read comments, and the people who have broken tops I can see it happening, but it hasn’t happened to me. But you know what for the price YOU CANNOT BEAT IT. I’ll take a broken top any day. There just the type that can’t find the good in anything.Find a cologne that’s less than $20 that’s that BIG OF A BOTTLE. You ain’t gonna do it. It’s a great buy, and I’ve bought it twice already.And I will buy it again. Thanks Nautica. Awesome smell

",2,"May 12, 2020",,B000P22TIY,n,"

  I get this, because I’m tired of paying a lot of $$$$ for the expensive brands. Guess what? I’ve gotten more compliments off of this cologne in ALL my 54 years on the planet. Lol.I would recommend everytime. Let’s just say it’s got a fruity, island, beach type smell. I think it’s awesome.I always read comments, and the people who have broken tops I can see it happening, but it hasn’t happened to me. But you know what for the price YOU CANNOT BEAT IT. I’ll take a broken top any day. There just the type that can’t find the good in anything.Find a cologne that’s less than $20 that’s that BIG OF A BOTTLE. You ain’t gonna do it. It’s a great buy, and I’ve bought it twice already.And I will buy it again. Thanks Nautica. Awesome smell

"
21,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,"

  One of the classic perfumes that will last forever. This perfume contains an essence that allows you to use it both at night and in the day. My wife ordered it for me and always says how good its aroma is.***SPANISH **Uno de los perfumes clásicos que perdurarán por siempre. Este perfume contiene una esencia que te permite usarlo tanto en la noche como en el día. Mi esposa lo ordenó por mi y siempre dice lo bueno que es su aroma.

",5,"April 24, 2019",,B000P22TIY,p,"

  One of the classic perfumes that will last forever. This perfume contains an essence that allows you to use it both at night and in the day. My wife ordered it for me and always says how good its aroma is.***SPANISH **Uno de los perfumes clásicos que perdurarán por siempre. Este perfume contiene una esencia que te permite usarlo tanto en la noche como en el día. Mi esposa lo ordenó por mi y siempre dice lo bueno que es su aroma.

"
22,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,"

  I would have to say if you want a Cologne that people will compliment but not break the bank. This is the right one for you. Has a clean smell not overwhelming but says around all day.

",7,"March 30, 2019",,B000P22TIY,p,"

  I would have to say if you want a Cologne that people will compliment but not break the bank. This is the right one for you. Has a clean smell not overwhelming but says around all day.

"
23,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,"

  I bought this for me and yes I am a woman. I used to buy Nautical Blue for my ex and I loved it so much I ended up wearing it. When I went back to buy Nautical Blue, it was out of stock so I settled for Voyage. I settled well. It is stronger than blue, very masculine, yet breezes and kool and fits me just fine. I wear it daily to work and dabs my little boy in it before heading out the house. He loves when I lift up the bottle to dab it on him, always smile after. So even thought it's for men, I find that it works well with women too...afterall I buy it for myself and i love floral scent.

",3,"July 6, 2019",,B000P22TIY,p,"

  I bought this for me and yes I am a woman. I used to buy Nautical Blue for my ex and I loved it so much I ended up wearing it. When I went back to buy Nautical Blue, it was out of stock so I settled for Voyage. I settled well. It is stronger than blue, very masculine, yet breezes and kool and fits me just fine. I wear it daily to work and dabs my little boy in it before heading out the house. He loves when I lift up the bottle to dab it on him, always smile after. So even thought it's for men, I find that it works well with women too...afterall I buy it for myself and i love floral scent.

"
24,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,"

  I didn't know what this smelled like before buying but I know Nautica to be a great brand. Only thing I was worried about was if it was going to be fake or something because that seems to be a problem with fragrances on Amazon. Well after using it for the first time today... I'd say it's the real deal. I literally just did one little spray on my chest before I left for work. I could smell it just fine pretty much through the whole day. I actually can still smell it and I have a very physical labor job (shipping industry) and I'd have to say that's pretty amazing. I'm glad I took the risk and would highly recommend this scent to anyone looking for an affordable cologne with a heavenly scent and long lasting!

",2,"December 14, 2019",,B000P22TIY,p,"

  I didn't know what this smelled like before buying but I know Nautica to be a great brand. Only thing I was worried about was if it was going to be fake or something because that seems to be a problem with fragrances on Amazon. Well after using it for the first time today... I'd say it's the real deal. I literally just did one little spray on my chest before I left for work. I could smell it just fine pretty much through the whole day. I actually can still smell it and I have a very physical labor job (shipping industry) and I'd have to say that's pretty amazing. I'm glad I took the risk and would highly recommend this scent to anyone looking for an affordable cologne with a heavenly scent and long lasting!

"
25,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,"

  I purchased this cologne thru Amazon and this is the first time I've tried this particular cologne as I usually go for The Beat by Burberry and this smells great. I put some on after receiving it this morning and now 12 hours later I still smell it on me.I spray a small squirt behind each ear and inside my shirt. You can go as subtle as you want with this if you chose or spray a little extra either way it's gonna stick all day long. Very good price for such a good long lasting smelling cologne.I have no idea why the 1 star reviews are complaining about receiving fake bottles unless purchased thru 3rd party on here even then for as cheap as this cologne is to buy wouldn't make sense to imitate it you normally see this happen on more expensive colognes.I have zero alcohol smell and my bottle came completely sealed in plastic and the bottle has the metal cap not the plastic I seen some people talking about.

",1,"December 8, 2019",,B000P22TIY,p,"

  I purchased this cologne thru Amazon and this is the first time I've tried this particular cologne as I usually go for The Beat by Burberry and this smells great. I put some on after receiving it this morning and now 12 hours later I still smell it on me.I spray a small squirt behind each ear and inside my shirt. You can go as subtle as you want with this if you chose or spray a little extra either way it's gonna stick all day long. Very good price for such a good long lasting smelling cologne.I have no idea why the 1 star reviews are complaining about receiving fake bottles unless purchased thru 3rd party on here even then for as cheap as this cologne is to buy wouldn't make sense to imitate it you normally see this happen on more expensive colognes.I have zero alcohol smell and my bottle came completely sealed in plastic and the bottle has the metal cap not the plastic I seen some people talking about.

"
26,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,"

  I used to love this cologne a long time ago, but either the formula is different now or I received a counterfeit bottle. The smell does not smell the same, and definitely doesn't last -- it just smells watered down and has a fairly strong hint of alcohol. I'm not real sure what to make of that. I should note that the product I received was from ""Notre Dame de Paris Perfumes,"" so it's 100% possible they just sold me a bunk knockoff. My mistake for not checking it more thoroughly.I've received legit colognes that were shipped and sold from Amazon themselves, so be sure to double-check who is selling the actual product. If you get the real deal, the cologne itself is a classic for daily wear in the summertime. You could do a lot worse for a $15 cologne.

",1,"April 27, 2020",,B000P22TIY,p,"

  I used to love this cologne a long time ago, but either the formula is different now or I received a counterfeit bottle. The smell does not smell the same, and definitely doesn't last -- it just smells watered down and has a fairly strong hint of alcohol. I'm not real sure what to make of that. I should note that the product I received was from ""Notre Dame de Paris Perfumes,"" so it's 100% possible they just sold me a bunk knockoff. My mistake for not checking it more thoroughly.I've received legit colognes that were shipped and sold from Amazon themselves, so be sure to double-check who is selling the actual product. If you get the real deal, the cologne itself is a classic for daily wear in the summertime. You could do a lot worse for a $15 cologne.

"
27,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,"

  Not my bag, just too boring and typical.  The sort of scent that is like 1000 others in the same price range and makes the ladies walk on by to the guy wearing any scent from Cerutti or Versace.  I bought this in the search for a backup everyday scent.  Thallium Blue is my starter and still the best, lowest priced men's fragrance one can buy in my humble opinion, if it jives with your body chemistry.  I read reviews and had hopes that this might be the one to mix things up a little with the everyday scent, but nothing doing.  It might be great for some and gets some 5 stars, but I've bought men's fragrances online that had thousands of five-star reviews and smelled like an old ladies perfume. It's a gamble when you buy scent online with no way to check it out first. All you can do is give it a shot and don't spend too much money on anything you haven't checked out at a brick-and-mortar store and confirmed you like. This one you can check out at Walmart, which should say it all with regard to how typical and boring this scent is.

",1,"March 3, 2020",,B000P22TIY,p,"

  Not my bag, just too boring and typical.  The sort of scent that is like 1000 others in the same price range and makes the ladies walk on by to the guy wearing any scent from Cerutti or Versace.  I bought this in the search for a backup everyday scent.  Thallium Blue is my starter and still the best, lowest priced men's fragrance one can buy in my humble opinion, if it jives with your body chemistry.  I read reviews and had hopes that this might be the one to mix things up a little with the everyday scent, but nothing doing.  It might be great for some and gets some 5 stars, but I've bought men's fragrances online that had thousands of five-star reviews and smelled like an old ladies perfume. It's a gamble when you buy scent online with no way to check it out first. All you can do is give it a shot and don't spend too much money on anything you haven't checked out at a brick-and-mortar store and confirmed you like. This one you can check out at Walmart, which should say it all with regard to how typical and boring this scent is.

"
28,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,"

  Prepare to get a ton of compliments with this cologne. Smells incredible I've been purchasing for seven years and still get compliments on how great is smells. I usually do three sprays and it lasts a good three-five hours. The smaller bottle lasts quite a long time with every day use.

",4,"November 20, 2019",,B000P22TIY,n,"

  Prepare to get a ton of compliments with this cologne. Smells incredible I've been purchasing for seven years and still get compliments on how great is smells. I usually do three sprays and it lasts a good three-five hours. The smaller bottle lasts quite a long time with every day use.

"
29,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,"

  I got this as a Father’s Day present for my Dad and have it to him a day early. You can’t beat the value for the price. If you are a cologne freak like me, you will definitely appreciate this. Yet again, I can’t stress the value for the price. Plus it is a nice, classic and masculine scent.

",4,"June 15, 2019",,B000P22TIY,p,"

  I got this as a Father’s Day present for my Dad and have it to him a day early. You can’t beat the value for the price. If you are a cologne freak like me, you will definitely appreciate this. Yet again, I can’t stress the value for the price. Plus it is a nice, classic and masculine scent.

"
