,asin,product name,ratings,reviews,helpful,date,Unnamed: 6,target,text
10,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",4,"

  I just the got the XL facemasks in. They could still use to be a bit bigger. The nose section will come off when talking/yawning and the elastic is a bit of a stretch to get around your ears and feels quite thin. these are still going to hurt to wear for long stretches, but better than any other option that I've tried. If you have a big head/face, this is probably your best bet.

",78,21-Jun-20,,p,"

  I just the got the XL facemasks in. They could still use to be a bit bigger. The nose section will come off when talking/yawning and the elastic is a bit of a stretch to get around your ears and feels quite thin. these are still going to hurt to wear for long stretches, but better than any other option that I've tried. If you have a big head/face, this is probably your best bet.

"
11,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  Wow, the fit and quality of these masks is incredible. They are sturdy yet breathable and the fit is awesome... no more weird issues with masks falling down my nose when I talk. I love that they have anti-microbial properties too. Finally someone got it right with this mask.

",84,11-Jun-20,,p,"

  Wow, the fit and quality of these masks is incredible. They are sturdy yet breathable and the fit is awesome... no more weird issues with masks falling down my nose when I talk. I love that they have anti-microbial properties too. Finally someone got it right with this mask.

"
12,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  I like that they have 3 different sizes. I ordered the large and it fits very comfortably without wanting to slide up or down my face while talking. They are made from a very soft material, and you can feel the 3 layers of fabric in it. The elastic loops for the ears are very stretchy, an long enough that you don't get any pull on your ears.

",74,15-Jul-20,,p,"

  I like that they have 3 different sizes. I ordered the large and it fits very comfortably without wanting to slide up or down my face while talking. They are made from a very soft material, and you can feel the 3 layers of fabric in it. The elastic loops for the ears are very stretchy, an long enough that you don't get any pull on your ears.

"
13,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",4,"

  The masks are SO comfortable and breathable. They’re obviously not the same kind of protection as a surgical mask, but if you need one to run errands, it’s so perfect!

",77,7-Jun-20,,p,"

  The masks are SO comfortable and breathable. They’re obviously not the same kind of protection as a surgical mask, but if you need one to run errands, it’s so perfect!

"
14,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  Great Product... Streachy mask and thick protective mask...I will buy again.

",53,20-Jul-20,,p,"

  Great Product... Streachy mask and thick protective mask...I will buy again.

"
15,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",1,"

  NOT Covid-19 Mask...These mask 'might ' help with mowing or painting.. 'might'!! However, these are NOT for covid-19.. I should have read MORE!!The weave is too large in these, to be small enough for CV-19.. they have to be 0.3... These are just a for looks mask! They are soft, comfortable and breathable.. BUT the entire reason for purchase was CV-19...We will keep hubby will paint or mow with!

",49,17-Jul-20,,n,"

  NOT Covid-19 Mask...These mask 'might ' help with mowing or painting.. 'might'!! However, these are NOT for covid-19.. I should have read MORE!!The weave is too large in these, to be small enough for CV-19.. they have to be 0.3... These are just a for looks mask! They are soft, comfortable and breathable.. BUT the entire reason for purchase was CV-19...We will keep hubby will paint or mow with!

"
16,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",4,"

  EnerPlex Premium Extra-Large Reusable Face Masks (set of 3) are considerately manufactured, consisting of fine quality material, durable stitching, inclusive of well fitting ear bands. Said face masks offer properly proportioned dimensional contouring for larger men's facial structure coverage, exceptional, overall, comfort and breathability. Indeed, the masks fit my face as if custom-made, and they are sufficiently compatible with eyeglass wearers even in quite warm settings. Of course, it's certainly nice that I do, frequently, receive positive comments on EnerPlex Premium XL Face Masks possessing a professional aesthetic design. Moreover, both, the prompt shipping process and, undoubtedly, reasonable pricing are appreciated factors, as well. Yes, I am very satisfied with EnerPlex Premium XL Face Masks, and will soon place additional orders. Highly recommended purchase, from a proven truly honorable marketplace seller, to assist in essential health maintenance during the Coronavirus (COVID-19) disease pandemic. Let's all join in staying, and keeping one another, protected, safe, healthy and happy. Hope my product review serves as helpful in my fellow customers buying decision.

",46,4-Jul-20,,p,"

  EnerPlex Premium Extra-Large Reusable Face Masks (set of 3) are considerately manufactured, consisting of fine quality material, durable stitching, inclusive of well fitting ear bands. Said face masks offer properly proportioned dimensional contouring for larger men's facial structure coverage, exceptional, overall, comfort and breathability. Indeed, the masks fit my face as if custom-made, and they are sufficiently compatible with eyeglass wearers even in quite warm settings. Of course, it's certainly nice that I do, frequently, receive positive comments on EnerPlex Premium XL Face Masks possessing a professional aesthetic design. Moreover, both, the prompt shipping process and, undoubtedly, reasonable pricing are appreciated factors, as well. Yes, I am very satisfied with EnerPlex Premium XL Face Masks, and will soon place additional orders. Highly recommended purchase, from a proven truly honorable marketplace seller, to assist in essential health maintenance during the Coronavirus (COVID-19) disease pandemic. Let's all join in staying, and keeping one another, protected, safe, healthy and happy. Hope my product review serves as helpful in my fellow customers buying decision.

"
17,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  I have looked at, purchased and returned several masks (or given them away) becuase NOTHING ever fits right..  These do, and they are pretty comfortable as well.  The elastic is a little less stretchy but I can put these on and talk without having to pull them up every 2 words.  Covers everything that needs to be covered and stays put, thank you!

",49,5-Jun-20,,p,"

  I have looked at, purchased and returned several masks (or given them away) becuase NOTHING ever fits right..  These do, and they are pretty comfortable as well.  The elastic is a little less stretchy but I can put these on and talk without having to pull them up every 2 words.  Covers everything that needs to be covered and stays put, thank you!

"
18,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  These masks are great. Excellent quality, leave you room to breath and yet they are thick enough to protect you. I believe it could be a little thicker, actually, but it should do the trick. I am a 5.1 female and I got medium after reading a few reviews. I believe I could have gotten the small ones, as it feels a bit loose in my face. For reference, I have a thin, oval face and weight 103 pounds.

",46,23-Jul-20,,p,"

  These masks are great. Excellent quality, leave you room to breath and yet they are thick enough to protect you. I believe it could be a little thicker, actually, but it should do the trick. I am a 5.1 female and I got medium after reading a few reviews. I believe I could have gotten the small ones, as it feels a bit loose in my face. For reference, I have a thin, oval face and weight 103 pounds.

"
19,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  I purchased the small size for my 11 year old and it fits perfectly. Not too tight that it’s pulling at the ears but definitely not leaving gaps. Material is thick but stretchy. For reference, she’s definitely on the small side but overall I think this could comfortably fit kids that are a little older.

",44,4-Aug-20,,p,"

  I purchased the small size for my 11 year old and it fits perfectly. Not too tight that it’s pulling at the ears but definitely not leaving gaps. Material is thick but stretchy. For reference, she’s definitely on the small side but overall I think this could comfortably fit kids that are a little older.

"
20,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  Alright, adult here with a teeny tiny head!  Don’t laugh, but my favorite baseball hat is a 5T so my head is NOT adult sized.  I ordered the small and it fits perfectly! I was desperately in need of a mask that I could wear during my CrossFit workouts and this wins!  I don’t suck in cloth when working out and it stays put on my face without falling down or creeping up into my eye sockets.  I ordered three more  since I absolutely must wash them after each use. As soon as the white ones are back in stock I’ll order 6 more for work!

",40,27-Jul-20,,p,"

  Alright, adult here with a teeny tiny head!  Don’t laugh, but my favorite baseball hat is a 5T so my head is NOT adult sized.  I ordered the small and it fits perfectly! I was desperately in need of a mask that I could wear during my CrossFit workouts and this wins!  I don’t suck in cloth when working out and it stays put on my face without falling down or creeping up into my eye sockets.  I ordered three more  since I absolutely must wash them after each use. As soon as the white ones are back in stock I’ll order 6 more for work!

"
21,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",1,"

  It’s hard to believe that these are three ply masks — they’re very thin. Consequently, it’s hard to imagine that they offer much protection, particularly after they’ve been washed a couple of times. I strongly discourage purchasing these.

",39,2-Jul-20,,n,"

  It’s hard to believe that these are three ply masks — they’re very thin. Consequently, it’s hard to imagine that they offer much protection, particularly after they’ve been washed a couple of times. I strongly discourage purchasing these.

"
22,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  **Updated review** (A second masks elastic just snapped) I hand washed them once and couldn't shrink them. After further inspection before hand washing I noticed one of the ear bands is torn and about to split in complete half. See in photos. The large is way to big for me and I definitely need a medium. The company is asking me to send a photo of the defective item but there is no attachment option on my app or mobil Amazon site. Therefore I'm posting the defective item on here for the company to see. ....OLD REVIEW..Nice soft comfortable but not a tight enough seal around my face. I'm a woman with a normal sized face and I just need it tighter. **update- The large mask sucked into my nose/mouth when I inhale. I have bought the medium size and no longer have issues. I recommend the medium size if you have issues like me. A proper fitting mask can do wonders.

",28,9-Jul-20,,p,"

  **Updated review** (A second masks elastic just snapped) I hand washed them once and couldn't shrink them. After further inspection before hand washing I noticed one of the ear bands is torn and about to split in complete half. See in photos. The large is way to big for me and I definitely need a medium. The company is asking me to send a photo of the defective item but there is no attachment option on my app or mobil Amazon site. Therefore I'm posting the defective item on here for the company to see. ....OLD REVIEW..Nice soft comfortable but not a tight enough seal around my face. I'm a woman with a normal sized face and I just need it tighter. **update- The large mask sucked into my nose/mouth when I inhale. I have bought the medium size and no longer have issues. I recommend the medium size if you have issues like me. A proper fitting mask can do wonders.

"
23,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  It fits well, doesn’t pull on my ears, and my fiancé can wear it comfortably with his beard. It doesn’t feel like a sauna mask, like my other masks. The large doesn’t fit my 16 year old daughter, but she is petite.

",31,14-Jul-20,,p,"

  It fits well, doesn’t pull on my ears, and my fiancé can wear it comfortably with his beard. It doesn’t feel like a sauna mask, like my other masks. The large doesn’t fit my 16 year old daughter, but she is petite.

"
24,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  It fit me perfectly as I am an adult with a small face.

",29,30-Jun-20,,p,"

  It fit me perfectly as I am an adult with a small face.

"
25,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  I ordered a pack of small in black color. I ordered 2 days ago, and received them yesterday. They are great quality, and stretchy.. I was very hesitant about buying them, but I don't regret that I did. I will be buying more of them. I brought them for my three boys, and fit them perfectly, age:2,&1/2,  4, 5.

",23,28-Jun-20,,p,"

  I ordered a pack of small in black color. I ordered 2 days ago, and received them yesterday. They are great quality, and stretchy.. I was very hesitant about buying them, but I don't regret that I did. I will be buying more of them. I brought them for my three boys, and fit them perfectly, age:2,&1/2,  4, 5.

"
26,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",4,"

  One of the masks started coming apart at the seams after the first wash, did not even use the dryer.

",25,30-Jun-20,,p,"

  One of the masks started coming apart at the seams after the first wash, did not even use the dryer.

"
27,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  During the current pandemic, I want to do my part to contain the Covid 19 virus.  I am 68 years old and a diabetic, cancer survivor.  My wife is also 68 with asthma, high blood pressure and a heart condition.  My son and I are both over 6 feet tall and have full beards.  Obviously it is of utmost importance that we are protected when we take necessary trips to the grocery store and the like.  We don't want want to be exposed to the virus and bring it home.  The standard adult mask doesn't quite give us the needed coverage to fully protect us.  Before I found these, I had to make my own over sized masks.  As you can see in the picture,  these masks cover my face from the bridge of my nose to the beard on my chin.  Adding my glasses and a hat gives me the protection I need to go out into the world.

",18,20-Jul-20,,p,"

  During the current pandemic, I want to do my part to contain the Covid 19 virus.  I am 68 years old and a diabetic, cancer survivor.  My wife is also 68 with asthma, high blood pressure and a heart condition.  My son and I are both over 6 feet tall and have full beards.  Obviously it is of utmost importance that we are protected when we take necessary trips to the grocery store and the like.  We don't want want to be exposed to the virus and bring it home.  The standard adult mask doesn't quite give us the needed coverage to fully protect us.  Before I found these, I had to make my own over sized masks.  As you can see in the picture,  these masks cover my face from the bridge of my nose to the beard on my chin.  Adding my glasses and a hat gives me the protection I need to go out into the world.

"
28,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",1,"

  They came just as pictured and described. They comfortably fit our 10 year old around the ears-no pulling, and snugly around the face. The 3 layers were still easy for him to breath through and we had no trouble with them in the washer. Great buy. I'd say the kids size fits 4-11 years old.

",21,21-Jul-20,,n,"

  They came just as pictured and described. They comfortably fit our 10 year old around the ears-no pulling, and snugly around the face. The 3 layers were still easy for him to breath through and we had no trouble with them in the washer. Great buy. I'd say the kids size fits 4-11 years old.

"
29,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  Pros:I live in New York. So mandatory masks has been going on since April. I have tried so many masks. These masks are very comfortable. Fits perfectly. I got a large and feels wonderful. Comfortable. Breathable and Stretchable.Cons:Failed the flame test. If you want to know if your mask is doing a good job protecting you and others. Get a lighted match. Put on the mask and cough much as you can. With this mask I knocked out the flame on my third try and the flame goes everywhere every time.  That means micro droplets can fly out your mouth and into the air and vice versa.Conclusion:These masks feels good but in the protective category it is troubling. Best bet is to double up these masks. I did that and the flame never moved. I can still breath and feel comfortable with two on. Or combined with a surgical mask they sell at the pharmacy. Wearing these singles is risky.

",17,14-Jul-20,,p,"

  Pros:I live in New York. So mandatory masks has been going on since April. I have tried so many masks. These masks are very comfortable. Fits perfectly. I got a large and feels wonderful. Comfortable. Breathable and Stretchable.Cons:Failed the flame test. If you want to know if your mask is doing a good job protecting you and others. Get a lighted match. Put on the mask and cough much as you can. With this mask I knocked out the flame on my third try and the flame goes everywhere every time.  That means micro droplets can fly out your mouth and into the air and vice versa.Conclusion:These masks feels good but in the protective category it is troubling. Best bet is to double up these masks. I did that and the flame never moved. I can still breath and feel comfortable with two on. Or combined with a surgical mask they sell at the pharmacy. Wearing these singles is risky.

"
30,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",1,"

  I ordered a set of L masks and received a package with both an L and XL label. The overall fit was loose and baggy and easily slid off my nose. I'm a decent sized guy 6'3 and about 215lbs. I've returned these and will be searching for a better option.

",21,10-Jul-20,,n,"

  I ordered a set of L masks and received a package with both an L and XL label. The overall fit was loose and baggy and easily slid off my nose. I'm a decent sized guy 6'3 and about 215lbs. I've returned these and will be searching for a better option.

"
31,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",1,"

  I am a nurse and a clean, professional appearance is important. I tried all the cute masks which are pretty, but are either too loose or cut off my air supply, not to mention the ear pain from the elastic. I took a chance on these masks for the price and the good reviews and I was not disappointed. Very soft and durable, soft ear loops...love the bright, clean white! No more flat masks with pleats for me...I will order another set of these! If your face is a little round or larger like mine, I would recommend the XL...have yet to wash and dry mine, but if they shrink a little they should still fit great.

",17,13-Jul-20,,n,"

  I am a nurse and a clean, professional appearance is important. I tried all the cute masks which are pretty, but are either too loose or cut off my air supply, not to mention the ear pain from the elastic. I took a chance on these masks for the price and the good reviews and I was not disappointed. Very soft and durable, soft ear loops...love the bright, clean white! No more flat masks with pleats for me...I will order another set of these! If your face is a little round or larger like mine, I would recommend the XL...have yet to wash and dry mine, but if they shrink a little they should still fit great.

"
32,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  I ordered these because I am a bit larger than average...  6 foot 4 inches  255 lbs... the standard mask barely covers my face... these are roughly the same size as medium masks, but the straps are SHORTER.... making them LESS COMFORTABLE than standard masks... DO NOT BUY if your purpose is to get a larger mask

",19,6-Jul-20,,p,"

  I ordered these because I am a bit larger than average...  6 foot 4 inches  255 lbs... the standard mask barely covers my face... these are roughly the same size as medium masks, but the straps are SHORTER.... making them LESS COMFORTABLE than standard masks... DO NOT BUY if your purpose is to get a larger mask

"
33,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  I got the size large because that's what it suggested for normal size adults. I guess I'm not ""normal"" sized. I should have got a size medium instead of large. The large is just too big on my face and there is a huge gap under my chin so it doesn't feel like it is protecting me like it should. I should also mention it was still too big after washing and drying it and trying to shrink it. Which it did shrink a little bit but not enough. It is soft and comfortable but does not feel protective and foggs up my sunglasses when I wear it.

",16,21-Jul-20,,p,"

  I got the size large because that's what it suggested for normal size adults. I guess I'm not ""normal"" sized. I should have got a size medium instead of large. The large is just too big on my face and there is a huge gap under my chin so it doesn't feel like it is protecting me like it should. I should also mention it was still too big after washing and drying it and trying to shrink it. Which it did shrink a little bit but not enough. It is soft and comfortable but does not feel protective and foggs up my sunglasses when I wear it.

"
34,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  We ordered a package of small for my two youngest children (6 and 11, both petite) and medium for my son and myself (13 and petite adult).  The mask fit well along our faces--we like that it dips down a little so that we could see some of our cheeks, and they look very nice.  But the ear straps didn't fit well.  They're a little on the longer side, and  after tightening them a little by twisting them or putting a knot, they dig into the back of our ears.  These will work well for shorter periods but we probably can't wear these all day.

",16,1-Aug-20,,p,"

  We ordered a package of small for my two youngest children (6 and 11, both petite) and medium for my son and myself (13 and petite adult).  The mask fit well along our faces--we like that it dips down a little so that we could see some of our cheeks, and they look very nice.  But the ear straps didn't fit well.  They're a little on the longer side, and  after tightening them a little by twisting them or putting a knot, they dig into the back of our ears.  These will work well for shorter periods but we probably can't wear these all day.

"
35,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",1,"

  I like almost everything about these masks.Only the height of the mask is different between the S, M, and L masks.  The distance from ear to ear is exactly the same which is frustrating as I could have saved myself a lot of hassle and buying different sizes if I had known that.The small fit my thin 8 yo boy fine for height but I had to tie a slip knot in the ear loops so the mask will stay up. I may consider racking them with sewing thread after we figure out what size will be comfortable for a full day a camp.

",15,23-Jul-20,,n,"

  I like almost everything about these masks.Only the height of the mask is different between the S, M, and L masks.  The distance from ear to ear is exactly the same which is frustrating as I could have saved myself a lot of hassle and buying different sizes if I had known that.The small fit my thin 8 yo boy fine for height but I had to tie a slip knot in the ear loops so the mask will stay up. I may consider racking them with sewing thread after we figure out what size will be comfortable for a full day a camp.

"
36,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  This is not a XL. There’s  no difference between Reg and XL come on .

",19,24-Jun-20,,p,"

  This is not a XL. There’s  no difference between Reg and XL come on .

"
